title,category,link
In the Garden of Beasts,history,https://www.audible.com/pd/History/In-the-Garden-of-Beasts-Audiobook/B004WPQ3V4
Ordinary Men,history,https://www.audible.com/pd/History/Ordinary-Men-Audiobook/B01N7XXQCR
The Tyranny of George III,history,https://www.audible.com/pd/History/The-Tyranny-of-George-III-Audiobook/B01KGDN3QS
Waterloo,history,https://www.audible.com/pd/History/Waterloo-Audiobook/B00U02WUS8
Fearless,history,https://www.audible.com/pd/Bios-Memoirs/Fearless-Audiobook/B00846MR0S
A Bright Shining Lie,history,https://www.audible.com/pd/History/A-Bright-Shining-Lie-Audiobook/B002VA9Z4Y
The Young Elizabeth I,history,https://www.audible.com/pd/Bios-Memoirs/The-Young-Elizabeth-I-Audiobook/B01DPQ31TM
The Monk of Mokha,history,https://www.audible.com/pd/History/The-Monk-of-Mokha-Audiobook/B075DLLZQ9
Hue 1968,history,https://www.audible.com/pd/History/Hue-1968-Audiobook/B072N8QZ9P
Road to Jonestown,history,https://www.audible.com/pd/Bios-Memoirs/Road-to-Jonestown-Audiobook/B06XDDCR76
Napoleon,history,https://www.audible.com/pd/Bios-Memoirs/Napoleon-Audiobook/B00OSJZ7BQ
Destruction of Black Civilization,history,https://www.audible.com/pd/History/Destruction-of-Black-Civilization-Audiobook/B074SW3RP2
The World Is Flat,history,https://www.audible.com/pd/History/The-World-Is-Flat-Audiobook/B002V018ZS
Empire of the Summer Moon,history,https://www.audible.com/pd/History/Empire-of-the-Summer-Moon-Audiobook/B01KBD5FKK
Darkest Hour,history,https://www.audible.com/pd/Bios-Memoirs/Darkest-Hour-Audiobook/B074CNG3KX
The Rise of Rome,history,https://www.audible.com/pd/History/The-Rise-of-Rome-Audiobook/B078HDSHQJ
King Leopold's Ghost,history,https://www.audible.com/pd/History/King-Leopolds-Ghost-Audiobook/B003UN4KV4
On Combat,history,https://www.audible.com/pd/History/On-Combat-Audiobook/B00FJJTO0Y
The Billion Dollar Spy,history,https://www.audible.com/pd/Bios-Memoirs/The-Billion-Dollar-Spy-Audiobook/B00XKCMCH4
The Making of the Atomic Bomb,history,https://www.audible.com/pd/History/The-Making-of-the-Atomic-Bomb-Audiobook/B01B1ZA7DM
The Celtic World,history,https://www.audible.com/pd/History/The-Celtic-World-Audiobook/B07BHXDXW9
Understanding Japan,history,https://www.audible.com/pd/History/Understanding-Japan-Audiobook/B011LUCFZU
SPQR,history,https://www.audible.com/pd/History/SPQR-Audiobook/B01865AOJW
"The Last Lion: Winston Spencer Churchill, Volume I: Visions of Glory 1874-1932",history,https://www.audible.com/pd/Bios-Memoirs/The-Last-Lion-Winston-Spencer-Churchill-Volume-I-Visions-of-Glory-1874-1932-Audiobook/B002V1C022
The Second World War,history,https://www.audible.com/pd/History/The-Second-World-War-Audiobook/B008CPVW4S
Killing Patton,history,https://www.audible.com/pd/History/Killing-Patton-Audiobook/B00KMYWNL8
The Decline and Fall of the Roman Empire,history,https://www.audible.com/pd/History/The-Decline-and-Fall-of-the-Roman-Empire-Audiobook/B00VXXUFYO
"The Civil War: A Narrative, Volume I, Fort Sumter to Perryville",history,https://www.audible.com/pd/History/The-Civil-War-A-Narrative-Volume-I-Fort-Sumter-to-Perryville-Audiobook/B0036NMFRY
Slavery by Another Name,history,https://www.audible.com/pd/History/Slavery-by-Another-Name-Audiobook/B003NTRUEO
The Rise of Theodore Roosevelt,history,https://www.audible.com/pd/Bios-Memoirs/The-Rise-of-Theodore-Roosevelt-Audiobook/B003O9I8BW
"The Last Lion: Winston Spencer Churchill, Volume 3",history,https://www.audible.com/pd/Bios-Memoirs/The-Last-Lion-Winston-Spencer-Churchill-Volume-3-Audiobook/B009PPO61K
Food: A Cultural Culinary History,history,https://www.audible.com/pd/History/Food-A-Cultural-Culinary-History-Audiobook/B00D8EMBVQ
The Vietnam War,history,https://www.audible.com/pd/History/The-Vietnam-War-Audiobook/B074G6D8K4
Truman,history,https://www.audible.com/pd/Bios-Memoirs/Truman-Audiobook/B004W1ROSY
Hill 488,history,https://www.audible.com/pd/History/Hill-488-Audiobook/B00WGSJHVC
The American Civil War,history,https://www.audible.com/pd/History/The-American-Civil-War-Audiobook/B00DICDCG6
Havana Nocturne,history,https://www.audible.com/pd/History/Havana-Nocturne-Audiobook/B002V0PNM2
Bill O'Reilly's Legends and Lies: The Patriots,history,https://www.audible.com/pd/History/Bill-OReillys-Legends-and-Lies-The-Patriots-Audiobook/B01D3DZMDK
American Military History: From Colonials to Counterinsurgents,history,https://www.audible.com/pd/History/American-Military-History-From-Colonials-to-Counterinsurgents-Audiobook/B07944G7YD
The Gulag Archipelago,history,https://www.audible.com/pd/History/The-Gulag-Archipelago-Audiobook/B002V59SC8
The Lessons of History,history,https://www.audible.com/pd/History/The-Lessons-of-History-Audiobook/B002V08DQ0
Skunk Works,history,https://www.audible.com/pd/History/Skunk-Works-Audiobook/B011LR4PW4
